RA,ano,fase,idade,genero,ano_ingresso,inde,pedra,iaa,ieg,ips,ida,ipp,ipv,ian,nota_mat,nota_port,nota_ing,defasagem,atingiu_pv,indicado_bolsa,em_risco_defasagem,categoria_defasagem,anos_na_pm
RA-1020,2024,1,10.0,Feminino,2023,8.9544954545,Topazio,9.002,9.7727272725,6.88,9.0,8.4375,8.84,10.0,10.0,8.0,,0,,,0,Adequado,1.0
RA-1021,2023,1,,Masculino,2023,6.964616667,Agata,8.0,9.2,3.77,3.3,7.1875,7.893333333,10.0,2.5,4.0,,0,,,0,Adequado,0.0
RA-1021,2024,1,10.0,Masculino,2023,8.0985863636,Topazio,9.502,9.318181818,7.51,8.0,8.4375,7.95,5.0,9.0,7.0,,-1,,,0,Defasagem leve,1.0
RA-1022,2023,1,9.0,Masculino,2023,7.164616667,Ametista,8.5,8.5,3.77,4.7,7.1875,7.893333333,10.0,4.7,4.7,,0,,,0,Adequado,0.0
RA-1022,2024,1,10.0,Masculino,2023,7.613169697000002,Ametista,9.502,9.318181818,6.26,6.5,7.5,8.116666667,5.0,5.5,7.5,,-1,,,0,Defasagem leve,1.0
RA-1023,2023,1,,Feminino,2023,9.1342,Topazio,10.0,10.0,6.27,9.1,8.75,9.06,10.0,8.5,9.7,,0,,,0,Adequado,0.0
RA-1023,2024,2,10.0,Feminino,2023,9.4985809523,Topazio,9.502,9.511904762,9.375,9.5,8.958333333,9.563333333,10.0,9.0,10.0,,0,,,0,Adequado,1.0
RA-1024,2023,1,10.0,Feminino,2023,7.788875,Ametista,0.0,10.0,6.27,9.8,9.21875,8.95,5.0,10.0,9.5,,-1,,,0,Defasagem leve,0.0
RA-1024,2024,1,11.0,Feminino,2023,8.6516166666,Topazio,8.002,10.0,7.51,10.0,8.4375,8.783333333,5.0,10.0,10.0,,-1,,,0,Defasagem leve,1.0
RA-1025,2023,1,9.0,Masculino,2023,8.215158333,Topazio,8.5,8.9,7.52,7.5,7.65625,7.836666667,10.0,7.5,7.5,,0,,,0,Adequado,0.0
RA-1025,2024,1,10.0,Masculino,2023,7.897071212,Ametista,9.002,7.727272727,7.51,9.0,8.4375,7.783333333,5.0,10.0,8.0,,-1,,,0,Defasagem leve,1.0
RA-1026,2023,1,,Feminino,2023,6.494825,Agata,8.5,9.8,7.52,3.2,6.40625,7.06,2.5,2.3,4.0,,-3,,,1,Defasagem moderada/severa,0.0
RA-1027,2023,1,10.0,Feminino,2023,7.748866667,Ametista,9.5,9.7,7.52,6.0,7.5,8.333333333,5.0,4.2,7.7,,-1,,,0,Defasagem leve,0.0
RA-1027,2024,2,11.0,Feminino,2023,8.220866666700001,Topazio,9.502,10.0,7.51,5.25,7.916666667,8.39,10.0,6.0,4.5,,0,,,0,Adequado,1.0
RA-1028,2023,1,11.0,Masculino,2023,6.415708333,Agata,0.0,9.2,7.52,5.0,7.34375,7.946666667,5.0,5.0,5.0,,-1,,,0,Defasagem leve,0.0
RA-1028,2024,1,12.0,Masculino,2023,7.1404338602,Ametista,8.002,7.055335968,5.63,7.5,6.875,8.393333333,5.0,6.0,9.0,,-2,,,1,Defasagem moderada/severa,1.0
RA-1029,2023,1,9.0,Feminino,2023,7.058533333,Ametista,10.0,6.3,3.77,5.4,7.5,8.006666667,10.0,3.5,7.2,,0,,,0,Adequado,0.0
RA-1029,2024,1,10.0,Feminino,2023,7.797790909100001,Ametista,9.002,8.7954545455,6.885,8.75,7.5,7.25,5.0,8.0,9.5,,-1,,,0,Defasagem leve,1.0
RA-103,2022,4,13.0,Feminino,2020,8.107,Topazio,7.9,8.7,7.5,7.3,,7.708,10.0,7.3,7.3,7.3,1,0.0,0.0,0,Adiantado,2.0
RA-103,2023,5,14.0,Feminino,2020,8.0239,Topazio,8.3,9.2,5.0,7.1,8.125,8.09,10.0,7.3,6.3,7.7,1,,,0,Adiantado,3.0
RA-103,2024,5,15.0,Feminino,2021,8.775268254,Topazio,8.334,9.603174603333335,6.26,9.166666666666666,7.875,8.872,10.0,9.0,9.0,9.5,0,,,0,Adequado,3.0
RA-1030,2023,1,,Masculino,2023,7.4027,Ametista,8.5,9.7,3.77,6.9,6.875,8.39,5.0,6.2,7.5,,-1,,,0,Defasagem leve,0.0
RA-1030,2024,2,12.0,Masculino,2023,7.740191604,Ametista,7.418,8.28320802,4.385,8.0,7.8125,7.61,10.0,10.0,6.0,,0,,,0,Adequado,1.0
RA-1031,2023,1,10.0,Masculino,2023,7.0602,Ametista,8.0,8.8,7.52,5.9,6.666666667,7.006666667,5.0,4.8,7.0,,-1,,,0,Defasagem leve,0.0
RA-1031,2024,1,11.0,Masculino,2023,6.8757227273,Agata,9.502,8.6363636365,7.51,6.25,5.3125,5.83,5.0,5.5,7.0,,-1,,,0,Defasagem leve,1.0
RA-1032,2023,1,,Masculino,2023,7.434033333,Ametista,8.5,9.5,7.52,6.0,7.291666667,7.563333333,5.0,5.7,6.2,,-1,,,0,Defasagem leve,0.0
RA-1032,2024,1,11.0,Masculino,2023,8.01645,Topazio,8.502,9.75,7.51,8.0,7.8125,7.92,5.0,9.0,7.0,,-1,,,0,Defasagem leve,1.0
RA-1033,2023,1,,Feminino,2023,8.126033333,Topazio,9.0,8.9,7.52,7.9,8.125,9.006666667,5.0,7.0,8.8,,-1,,,0,Defasagem leve,0.0
RA-1034,2023,1,10.0,Masculino,2023,7.9642,Ametista,7.5,9.0,7.52,8.3,8.333333333,8.393333333,5.0,7.8,8.7,,-1,,,0,Defasagem leve,0.0
RA-1034,2024,2,11.0,Masculino,2023,8.0333666666,Topazio,7.502,8.0833333335,7.51,7.5,7.708333333,8.223333333,10.0,7.5,7.5,,0,,,0,Adequado,1.0
RA-1035,2023,1,9.0,Masculino,2023,6.888833333,Agata,0.0,8.3,7.52,5.8,7.708333333,7.78,10.0,4.0,7.5,,0,,,0,Adequado,0.0
RA-1035,2024,1,10.0,Masculino,2023,7.833495454500001,Ametista,9.502,9.0227272725,7.51,7.0,8.4375,7.92,5.0,6.5,7.5,,-1,,,0,Defasagem leve,1.0
RA-1036,2023,1,11.0,Feminino,2023,6.970583333,Agata,0.0,9.6,3.77,8.0,9.0625,8.336666667,5.0,9.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-1036,2024,2,12.0,Feminino,2023,8.2841303831,Topazio,10.0,9.0890269155,7.51,7.0,7.65625,7.7475,10.0,7.0,7.0,,0,,,0,Adequado,1.0
RA-1037,2023,1,10.0,Masculino,2023,7.655575,Ametista,9.0,8.4,7.52,6.7,8.59375,8.17,5.0,5.0,8.3,,-1,,,0,Defasagem leve,0.0
RA-1038,2023,1,10.0,Feminino,2023,7.736825,Ametista,8.0,9.3,7.52,6.5,8.90625,8.17,5.0,7.5,5.5,,-1,,,0,Defasagem leve,0.0
RA-1038,2024,2,11.0,Feminino,2023,7.9646385965,Ametista,8.002,7.5438596495,7.51,8.5,7.5,7.273333333,10.0,10.0,7.0,,0,,,0,Adequado,1.0
RA-1039,2023,1,,Masculino,2023,7.686033333,Ametista,8.0,9.9,7.52,6.2,8.125,8.056666667,5.0,6.0,6.3,,-2,,,1,Defasagem moderada/severa,0.0
RA-1039,2024,2,13.0,Masculino,2023,7.549644444400001,Ametista,8.002,9.722222222,7.51,7.25,7.5,6.77,5.0,8.0,6.5,,-1,,,0,Defasagem leve,1.0
RA-104,2022,4,18.0,Masculino,2022,6.315,Agata,7.9,8.7,7.5,3.7,,6.708,2.5,4.8,5.8,0.3,-4,0.0,0.0,1,Defasagem moderada/severa,0.0
RA-104,2023,5,,Masculino,2022,4.25,Quartzo,0.0,7.7,2.52,2.6,5.625,5.6275,2.5,3.7,1.8,2.3,-3,,,1,Defasagem moderada/severa,1.0
RA-1040,2023,1,,Masculino,2023,7.81545,Ametista,10.0,9.3,7.52,6.6,7.8125,8.06,5.0,5.8,7.3,,-1,,,0,Defasagem leve,0.0
RA-1040,2024,2,12.0,Masculino,2023,7.764199999900001,Ametista,9.502,8.5416666665,7.51,8.25,7.5,7.273333333,5.0,8.0,8.5,,-1,,,0,Defasagem leve,1.0
RA-1041,2023,1,10.0,Feminino,2023,6.724116667,Agata,10.0,7.2,7.52,3.3,7.8125,8.003333333,5.0,1.8,4.7,,-1,,,0,Defasagem leve,0.0
RA-1042,2023,1,,Masculino,2023,5.331166667,Quartzo,0.0,6.5,3.77,4.3,7.708333333,7.666666667,5.0,4.0,4.5,,-1,,,0,Defasagem leve,0.0
RA-1043,2023,1,10.0,Masculino,2023,6.5447,Agata,10.0,7.9,6.27,2.5,7.708333333,7.833333333,5.0,2.0,3.0,,-1,,,0,Defasagem leve,0.0
RA-1043,2024,1,11.0,Masculino,2023,7.539847562500002,Ametista,10.0,7.994071146,7.51,8.25,7.291666667,6.553333333,5.0,8.5,8.0,,-1,,,0,Defasagem leve,1.0
RA-1044,2023,1,10.0,Feminino,2023,7.629533333,Ametista,8.0,9.7,7.52,6.1,7.5,8.336666667,5.0,4.5,7.7,,-1,,,0,Defasagem leve,0.0
RA-1044,2024,2,11.0,Feminino,2023,7.966711904800001,Ametista,7.502,9.523809524,7.51,7.0,7.1875,7.21,10.0,7.0,7.0,,0,,,0,Adequado,1.0
RA-1045,2023,1,11.0,Feminino,2023,8.089033333,Topazio,9.5,9.4,7.52,7.9,7.708333333,8.28,5.0,6.8,9.0,,-1,,,0,Defasagem leve,0.0
RA-1046,2023,1,9.0,Masculino,2023,6.835833333,Agata,0.0,8.5,3.77,6.3,8.541666667,8.223333333,10.0,6.3,6.3,,0,,,0,Adequado,0.0
RA-1047,2023,1,9.0,Masculino,2023,7.848366667,Ametista,10.0,8.5,3.77,6.9,8.125,7.893333333,10.0,5.8,8.0,,0,,,0,Adequado,0.0
RA-1048,2023,1,10.0,Feminino,2023,7.811366667,Ametista,8.5,9.5,3.77,8.2,8.541666667,8.5,5.0,7.5,8.8,,-1,,,0,Defasagem leve,0.0
RA-1048,2024,2,11.0,Feminino,2023,7.5198666666,Ametista,8.502,6.833333333500001,6.255,6.25,7.708333333,8.283333333,10.0,6.5,6.0,,1,,,0,Adiantado,1.0
RA-1049,2023,1,10.0,Masculino,2023,7.443366667,Ametista,10.0,7.7,7.52,6.3,8.125,7.943333333,5.0,5.5,7.0,,-1,,,0,Defasagem leve,0.0
RA-1049,2024,1,11.0,Masculino,2023,6.821885606,Agata,9.502,8.03030303,7.51,4.5,7.65625,6.745,5.0,4.0,5.0,,-1,,,0,Defasagem leve,1.0
RA-105,2022,4,17.0,Masculino,2016,6.846,Agata,7.9,8.2,5.6,6.7,,7.417,2.5,7.2,6.2,6.8,-3,0.0,0.0,1,Defasagem moderada/severa,6.0
RA-1050,2023,1,11.0,Masculino,2023,7.764366667,Ametista,9.0,9.2,6.27,7.2,8.125,8.223333333,5.0,6.2,8.2,,-1,,,0,Defasagem leve,0.0
RA-1051,2023,1,9.0,Feminino,2023,8.534866667,Topazio,8.5,8.9,6.27,8.4,8.75,8.613333333,10.0,7.0,9.8,,0,,,0,Adequado,0.0
RA-1052,2023,1,,Masculino,2023,6.960333333,Agata,0.0,9.0,7.52,5.3,7.916666667,7.833333333,10.0,5.0,5.5,,0,,,0,Adequado,0.0
RA-1052,2024,1,10.0,Masculino,2023,7.744032575800001,Ametista,5.834,9.128787879,6.26,8.25,8.59375,8.4975,5.0,8.5,8.0,,-1,,,0,Defasagem leve,1.0
RA-1053,2023,1,9.0,Masculino,2023,7.776166667,Ametista,0.0,9.1,6.27,8.6,8.958333333,8.616666667,10.0,7.8,9.3,,0,,,0,Adequado,0.0
RA-1054,2023,1,,Masculino,2023,7.459533333,Ametista,8.5,8.6,7.52,6.6,7.5,7.836666667,5.0,5.0,8.2,,-2,,,1,Defasagem moderada/severa,0.0
RA-1054,2024,2,13.0,Masculino,2023,6.985788509300001,Agata,9.502,7.3291925465,7.51,6.25,7.1875,6.75,5.0,6.0,6.5,,-1,,,0,Defasagem leve,1.0
RA-1055,2023,1,11.0,Masculino,2023,5.9765,Quartzo,0.0,7.2,7.52,5.5,7.291666667,7.276666667,5.0,6.0,5.0,,-1,,,0,Defasagem leve,0.0
RA-1055,2024,1,12.0,Masculino,2023,6.403040909100001,Agata,10.0,5.7954545455,7.51,5.5,7.1875,5.87,5.0,4.0,7.0,,-2,,,1,Defasagem moderada/severa,1.0
RA-1056,2023,1,9.0,Masculino,2023,8.551741667,Topazio,8.5,9.6,7.52,8.1,7.96875,8.113333333,10.0,7.8,8.3,,0,,,0,Adequado,0.0
RA-1056,2024,1,10.0,Masculino,2023,8.192009523800001,Topazio,8.502,9.2857142855,7.51,8.25,9.166666667,8.335,5.0,8.5,8.0,,-1,,,0,Defasagem leve,1.0
RA-1057,2023,1,9.0,Feminino,2023,8.4827,Topazio,10.0,10.0,7.52,6.3,8.125,8.34,10.0,6.5,6.0,,0,,,0,Adequado,0.0
RA-1057,2024,1,10.0,Feminino,2023,8.2352,Topazio,10.0,10.0,6.26,8.0,8.75,8.17,5.0,8.0,8.0,,-1,,,0,Defasagem leve,1.0
RA-1058,2023,1,,Feminino,2023,7.356533333,Ametista,10.0,8.7,3.14,5.4,7.083333333,7.62,10.0,4.0,6.7,,0,,,0,Adequado,0.0
RA-1058,2024,1,10.0,Feminino,2023,7.703347619,Ametista,9.168,8.095238095,6.88,7.75,8.125,8.085,5.0,7.5,8.0,,-1,,,0,Defasagem leve,1.0
RA-1059,2023,1,,Masculino,2023,7.763741667,Ametista,10.0,9.8,2.52,7.6,7.96875,8.673333333,5.0,6.2,9.0,,-1,,,0,Defasagem leve,0.0
RA-1059,2024,2,11.0,Masculino,2023,8.678450000000002,Topazio,8.002,10.0,6.26,7.5,9.0625,9.23,10.0,7.5,7.5,,0,,,0,Adequado,1.0
RA-106,2022,4,15.0,Feminino,2016,7.973,Ametista,9.2,8.0,9.4,7.4,,8.375,5.0,7.8,7.2,7.2,-1,1.0,0.0,0,Defasagem leve,6.0
RA-106,2023,5,15.0,Feminino,2016,7.769658333,Ametista,7.9,9.1,5.0,7.3,7.03125,7.5075,10.0,6.7,6.8,8.3,0,,,0,Adequado,7.0
RA-106,2024,6,16.0,Feminino,2021,7.721664285733334,Ametista,9.168,8.761904762,5.635,5.666666666666667,7.8125,7.872,10.0,7.0,3.5,6.5,0,,,0,Adequado,3.0
RA-1060,2023,1,,Masculino,2023,7.095741667,Ametista,9.0,8.6,3.14,5.7,7.96875,8.673333333,5.0,4.3,7.0,,-1,,,0,Defasagem leve,0.0
RA-1060,2024,2,12.0,Masculino,2023,6.448416666600001,Agata,9.585,6.0,6.26,3.25,7.8125,6.163333333,10.0,3.5,3.0,,0,,,0,Adequado,1.0
RA-1061,2023,1,10.0,Masculino,2023,8.196533333,Topazio,9.5,9.7,3.14,9.3,8.75,8.836666667,5.0,8.8,9.7,,-1,,,0,Defasagem leve,0.0
RA-1061,2024,2,11.0,Masculino,2023,8.76595,Topazio,8.502,10.0,6.26,8.5,8.4375,8.73,10.0,7.0,10.0,,0,,,0,Adequado,1.0
RA-1062,2023,1,,Masculino,2023,7.448841667,Ametista,7.4,7.7,3.77,6.2,8.59375,8.503333333,10.0,4.8,7.5,,0,,,0,Adequado,0.0
RA-1062,2024,1,10.0,Masculino,2023,7.6147238096,Ametista,8.002,9.047619048,5.63,7.25,8.75,8.085,5.0,6.5,8.0,,-1,,,0,Defasagem leve,1.0
RA-1063,2023,1,,Masculino,2023,7.490825,Ametista,9.5,9.5,7.52,5.9,6.40625,7.89,5.0,4.7,7.0,,-1,,,0,Defasagem leve,0.0
RA-1063,2024,2,12.0,Masculino,2023,7.279250000000001,Ametista,5.25,9.75,7.51,7.75,7.8125,6.11,5.0,9.0,6.5,,-1,,,0,Defasagem leve,1.0
RA-1064,2023,1,10.0,Masculino,2023,8.4777,Topazio,8.5,9.8,7.52,8.6,9.375,8.84,5.0,8.3,8.8,,-1,,,0,Defasagem leve,0.0
RA-1064,2024,2,11.0,Masculino,2023,8.9802350877,Topazio,9.502,9.7368421055,7.51,8.5,8.75,8.783333333,10.0,8.0,9.0,,0,,,0,Adequado,1.0
RA-1065,2023,1,,Feminino,2023,8.03395,Topazio,8.5,9.6,7.52,7.0,8.4375,8.84,5.0,7.7,6.3,,-1,,,0,Defasagem leve,0.0
RA-1065,2024,2,11.0,Feminino,2023,8.8634934783,Topazio,9.502,8.8152173915,6.26,9.25,9.0625,8.84,10.0,9.0,9.5,,0,,,0,Adequado,1.0
RA-1066,2023,1,10.0,Feminino,2023,7.262616667,Ametista,8.5,6.6,7.52,6.2,8.4375,8.783333333,5.0,4.2,8.2,,-1,,,0,Defasagem leve,0.0
RA-1066,2024,2,11.0,Feminino,2023,7.9326223603,Ametista,9.502,8.3954451345,6.26,7.25,7.5,7.386666667,10.0,7.0,7.5,,0,,,0,Adequado,1.0
RA-1067,2023,1,10.0,Masculino,2023,6.541458333,Agata,0.0,7.9,7.52,5.4,8.28125,9.006666667,5.0,4.5,6.3,,-1,,,0,Defasagem leve,0.0
RA-1067,2024,1,11.0,Masculino,2023,7.840033333300001,Ametista,10.0,8.333333332999999,7.51,6.75,8.541666667,8.59,5.0,6.5,7.0,,-1,,,0,Defasagem leve,1.0
RA-1068,2023,1,,Masculino,2023,8.472533333,Topazio,8.5,9.3,6.89,9.0,9.166666667,9.283333333,5.0,8.3,9.7,,-1,,,0,Defasagem leve,0.0
RA-1068,2024,2,11.0,Masculino,2023,9.0150030303,Topazio,9.502,9.068181818,7.51,9.5,8.541666667,8.73,10.0,9.0,10.0,,0,,,0,Adequado,1.0
RA-1069,2023,1,11.0,Masculino,2023,7.590033333,Ametista,9.0,7.8,7.52,7.1,8.125,8.226666667,5.0,7.5,6.7,,-1,,,0,Defasagem leve,0.0
RA-1069,2024,2,12.0,Masculino,2023,7.678917391300001,Ametista,9.002,7.0760869565,7.51,6.25,8.125,7.75,10.0,7.0,5.5,,0,,,0,Adequado,1.0
RA-107,2022,4,15.0,Feminino,2018,6.258,Agata,7.5,6.4,7.5,4.6,,6.5,5.0,3.3,4.3,6.0,-1,0.0,1.0,0,Defasagem leve,4.0
RA-107,2023,5,15.0,Feminino,2018,6.845208333,Agata,0.0,8.5,5.0,7.0,7.34375,7.5875,10.0,6.0,5.2,9.7,0,,,0,Adequado,5.0
RA-107,2024,5,16.0,Feminino,2021,6.676130827066667,Agata,7.5,7.9949874686666655,7.51,4.666666666666667,7.5,6.964,5.0,0.0,4.5,9.5,-1,,,0,Defasagem leve,3.0
RA-1070,2023,1,11.0,Masculino,2023,6.939033333,Agata,9.0,7.8,3.14,5.8,7.708333333,8.67,5.0,5.3,6.3,,-1,,,0,Defasagem leve,0.0
RA-1070,2024,1,12.0,Masculino,2023,6.287171861500001,Agata,9.002,9.3073593075,5.635,2.25,6.875,6.6225,5.0,4.5,0.0,,-1,,,0,Defasagem leve,1.0
RA-1071,2023,1,11.0,Masculino,2023,6.414033333,Agata,9.0,8.6,7.52,3.5,5.625,6.396666667,5.0,1.7,5.3,,-1,,,0,Defasagem leve,0.0
RA-1071,2024,2,12.0,Masculino,2023,4.8048623378,Quartzo,8.002,4.188311688500001,7.51,4.5,4.166666667,2.996666667,5.0,4.0,5.0,,-1,,,0,Defasagem leve,1.0
RA-1072,2023,2,11.0,Masculino,2023,8.0152,Topazio,9.0,8.6,5.0,6.7,8.125,8.7125,10.0,5.2,8.2,,0,,,0,Adequado,0.0
RA-1072,2024,3,12.0,Masculino,2023,7.8153856754,Ametista,8.751,5.627886710333333,8.755,8.166666666666666,7.96875,7.545,10.0,8.0,7.0,9.5,0,,,0,Adequado,1.0
RA-1073,2023,2,,Feminino,2023,6.384333333,Agata,0.0,8.8,2.52,6.2,8.333333333,9.045,5.0,4.8,7.5,,-1,,,0,Defasagem leve,0.0
RA-1073,2024,3,13.0,Feminino,2022,7.0859945773333335,Ametista,9.168,6.370972886666667,7.5,6.5,6.875,5.7875,10.0,6.5,5.0,8.0,0,,,0,Adequado,2.0
